--- scanner 0 ---
497,-409,-534
-367,419,-378
42,122,52
-639,-583,-417
-698,-415,664
546,-352,400
349,-338,-455
-675,-616,-588
-560,-513,617
-787,546,758
-139,32,-50
-674,-732,-518
427,-359,-463
-437,379,-523
-396,433,-346
436,-321,503
-677,-587,639
399,430,419
564,622,-643
659,463,-650
41,-60,-110
-712,512,618
796,604,-650
-891,535,636
493,437,388
661,-319,468
466,417,330

--- scanner 1 ---
488,862,771
-451,-609,647
-8,100,-127
823,-683,-416
-594,-600,748
514,-416,408
-587,-663,618
440,-467,494
824,-608,-426
824,462,-718
808,427,-939
-555,-682,-773
-421,857,-538
144,47,44
740,422,-884
430,937,816
-424,918,-492
765,-709,-462
-544,768,567
-542,897,-458
515,932,791
-603,731,567
-648,738,582
398,-421,563
-596,-648,-556
-585,-738,-674

--- scanner 2 ---
156,-76,53
-259,485,-910
776,-678,-738
-512,-476,-732
720,685,-769
-483,-471,-705
571,375,493
-237,-560,461
776,-380,490
-268,-528,495
551,288,344
-517,-428,-800
86,36,-138
-258,-611,459
765,-550,-596
-560,617,672
635,610,-870
-422,606,591
799,-559,508
-541,585,524
-301,556,-808
628,391,268
765,-484,368
-264,531,-747
752,-528,-711
690,711,-914

--- scanner 3 ---
680,601,813
-763,-692,-544
-858,-735,-578
381,835,-843
-924,398,806
-790,-687,-573
738,574,833
-840,536,806
432,-783,715
-24,82,-11
-753,518,-651
649,507,820
403,-603,-298
-183,-25,69
-654,-613,704
-769,-635,691
401,-552,-319
-654,493,-664
414,700,-770
437,-635,-329
-796,-485,715
310,-679,704
-762,501,-779
-892,532,715
450,-604,738
394,892,-702

--- scanner 4 ---
-917,624,-692
577,-693,-626
-126,-39,150
-979,-765,601
-678,-570,-622
427,-771,818
-979,-722,753
-506,819,785
547,-706,800
-916,-667,651
-629,-615,-432
489,-736,-793
-60,53,-25
579,-766,930
302,692,-474
293,678,-445
727,348,615
-886,575,-668
-846,525,-744
731,354,641
-691,-686,-521
395,675,-621
677,444,514
-469,871,844
-450,727,834
588,-747,-658

--- scanner 5 ---
707,-636,-426
453,-503,608
638,-682,-384
508,651,279
-692,401,-447
503,716,493
780,503,-853
-482,-739,292
726,410,-771
-493,443,-410
