98220,50383
98220,51611
98394,51611
98394,52815
97964,52815
97964,54005
97594,54005
97594,55224
97608,55224
97608,56483
97863,56483
97863,57566
96897,57566
96897,58822
97062,58822
97062,59947
96526,59947
96526,61107
96191,61107
96191,62379
96290,62379
96290,63533
95913,63533
95913,64738
95698,64738
95698,65885
95293,65885
95293,67009
94828,67009
94828,68073
94220,68073
94220,69435
94313,69435
94313,70174
93002,70174
93002,71616
93196,71616
93196,72602
92443,72602
92443,73462
91489,73462
91489,74876
91500,74876
91500,75874
90784,75874
90784,76501
89523,76501
89523,77604
88995,77604
88995,78801
88574,78801
88574,79650
87681,79650
87681,80801
87167,80801
87167,81809
86461,81809
86461,82630
85544,82630
85544,83027
84196,83027
84196,84452
83908,84452
83908,84937
82685,84937
82685,85741
81777,85741
81777,86619
80934,86619
80934,87768
80299,87768
80299,88349
79199,88349
79199,88541
77832,88541
77832,89980
77357,89980
77357,90494
76228,90494
76228,90566
74839,90566
74839,91519
73998,91519
73998,92314
73047,92314
73047,92444
71743,92444
71743,93461
70891,93461
70891,93816
69711,93816
69711,93931
68439,93931
68439,94554
67387,94554
67387,95135
66308,95135
66308,95641
65196,95641
65196,95506
63880,95506
63880,96329
62858,96329
62858,96763
61711,96763
61711,96562
60415,96562
60415,97182
59305,97182
59305,97788
58173,97788
58173,97501
56890,97501
56890,98040
55730,98040
55730,98269
54520,98269
54520,97753
53254,97753
53254,98440
52070,98440
52070,97834
50831,97834
50831,97766
49619,97766
49619,98209
48394,98209
48394,98038
47180,98038
47180,97341
46015,97341
46015,97712
44764,97712
44764,97144
43614,97144
43614,97019
42413,97019
42413,96935
41201,96935
41201,96646
40026,96646
40026,96658
38780,96658
38780,96087
37674,96087
37674,96044
36427,96044
36427,95949
35180,95949
35180,95401
34076,95401
34076,95034
32912,95034
32912,94348
31874,94348
31874,94127
30646,94127
30646,93188
29738,93188
29738,92766
28597,92766
28597,92326
27459,92326
27459,91509
26526,91509
26526,90860
25507,90860
25507,90226
24479,90226
24479,89993
23183,89993
23183,89175
22267,89175
22267,88771
21052,88771
21052,88082
20033,88082
20033,86875
19440,86875
19440,86039
18559,86039
18559,85150
17730,85150
17730,84769
16418,84769
16418,83845
15611,83845
15611,82569
15186,82569
15186,81626
14428,81626
14428,81005
13295,81005
13295,79912
12713,79912
12713,78929
12005,78929
12005,78138
11033,78138
11033,77077
10428,77077
10428,76034
9804,76034
9804,75127
8963,75127
8963,74103
8298,74103
8298,72884
7984,72884
7984,72088
6881,72088
6881,70684
6968,70684
6968,69636
6351,69636
6351,68560
5780,68560
5780,67344
5556,67344
5556,66431
4525,66431
4525,65176
4416,65176
4416,64086
3819,64086
3819,62866
3641,62866
3641,61564
3821,61564
3821,60371
3630,60371
3630,59211
3291,59211
3291,58099
2640,58099
2640,56886
2523,56886
2523,55695
2253,55695
2253,54449
2492,54449
2492,53280
1859,53280
1859,52045
2127,52045
2127,50825
2506,50825
2506,50355
94654,50355
94654,48393
1753,48393
1753,47161
1649,47161
1649,45990
2365,45990
2365,44812
2728,44812
2728,43562
2476,43562
2476,42288
2205,42288
2205,41205
3084,41205
3084,39987
3171,39987
3171,38884
3773,38884
3773,37470
3147,37470
3147,36318
3584,36318
3584,35157
3979,35157
3979,34015
4424,34015
4424,33111
5490,33111
5490,31733
5306,31733
5306,30643
5866,30643
5866,29505
6316,29505
6316,28497
7033,28497
7033,27460
7674,27460
7674,26167
7856,26167
7856,25202
8631,25202
8631,24336
9547,24336
9547,23414
10352,23414
10352,22432
11057,22432
11057,21152
11363,21152
11363,20469
12471,20469
12471,19669
13401,19669
13401,18692
14113,18692
14113,17344
14428,17344
14428,16855
15682,16855
15682,15949
16487,15949
16487,15210
17453,15210
17453,14246
18211,14246
18211,13558
19216,13558
19216,12858
20204,12858
20204,11629
20784,11629
20784,11086
21899,11086
21899,10069
22677,10069
22677,10058
24129,10058
24129,8966
24874,8966
24874,8693
26124,8693
26124,8154
27207,8154
27207,7628
28294,7628
28294,6848
29257,6848
29257,6198
30295,6198
30295,5433
31293,5433
31293,5518
32641,5518
32641,5084
33770,5084
33770,4790
34947,4790
34947,4454
36107,4454
36107,3372
37058,3372
37058,3549
38366,3549
38366,3623
39626,3623
39626,2649
40661,2649
40661,2813
41929,2813
41929,2021
43040,2021
43040,1969
44270,1969
44270,1933
45498,1933
45498,2175
46740,2175
46740,2296
47961,2296
47961,1776
49161,1776
49161,1876
50383,1876
50383,2074
51596,2074
51596,1674
52836,1674
52836,2320
54012,2320
54012,2159
55249,2159
55249,2145
56482,2145
56482,3018
57580,3018
57580,2797
58848,2797
58848,3391
59965,3391
59965,3412
61202,3412
61202,3683
62386,3683
62386,4199
63500,4199
63500,4587
64646,4587
64646,4303
66026,4303
66026,4755
67167,4755
67167,5712
68100,5712
68100,5682
69437,5682
69437,6242
70528,6242
70528,6642
71697,6642
71697,7617
72570,7617
72570,8366
73543,8366
73543,8965
74597,8965
74597,9337
75796,9337
75796,10371
76572,10371
76572,10424
78015,10424
78015,11590
78678,11590
78678,12238
79713,12238
79713,13323
80395,13323
80395,14143
81280,14143
81280,14799
82315,14799
82315,15799
83031,15799
83031,15981
84563,15981
84563,17236
85020,17236
85020,17966
86028,17966
86028,19196
86465,19196
86465,19837
87597,19837
87597,20876
88249,20876
88249,21704
89182,21704
89182,23164
89218,23164
89218,23700
90604,23700
90604,24983
90856,24983
90856,26196
91183,26196
91183,27052
92131,27052
92131,28071
92807,28071
92807,29406
92842,29406
92842,30501
93343,30501
93343,31471
94141,31471
94141,32454
94960,32454
94960,33646
95258,33646
95258,34752
95794,34752
95794,36019
95832,36019
95832,37122
96396,37122
96396,38226
97009,38226
97009,39503
96927,39503
96927,40706
97123,40706
97123,41878
97488,41878
97488,43044
97947,43044
97947,44345
97407,44345
97407,45566
97334,45566
97334,46732
97943,46732
97943,47937
98268,47937
98268,49160
98313,49160
98313,50383
